codigo_contrato,codigo_parceiro,nome_parceiro,valor_aluguel_contrato,taxa_contrato,porcentagem_taxa_administracao,name_status,data_inicio_contrato,meses_duracao_contrato,data_desocupacao,tipo_parceiro,tipo_sistema,nome_produto,migracao,pontualizado
M-LEH2412076,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.100,00","0,00","10,00",Encerrado,10/05/2021,30,,,sistema,Full,Sim,Ṇo
M-LEH2412047,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"5.278,99","0,00","8,00",Encerrado,01/11/2020,30,,,sistema,Full,Sim,Ṇo
M-LEH2412030,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"885,70","0,00","10,00",Encerrado,11/06/2021,30,,,sistema,Full,Sim,Ṇo
M-LEH2412009,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.300,00","0,00","10,00",Encerrado,11/02/2023,30,,,sistema,Full,Sim,Ṇo
NM-LEH2412072,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"7.838,93","0,00","10,00",Encerrado,01/10/2023,30,,,sistema,Smart,Sim,Tombamento
PH25082991NGOD/A,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.800,00","70,00","10,00",Encerrado,09/09/2025,30,,,sistema,Smart,Nao,Sim
PH25072647NAOD/A,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.900,00","70,00","10,00",Encerrado,28/07/2025,30,,,sistema,Smart,Nao,Sim
M-LEH2412110,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"5.806,89","0,00","10,00",Pausado,01/11/2023,30,,,sistema,Full,Sim,Ṇo
M-LEH2412105,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"1.300,00","0,00","10,00",Pausado,10/05/2024,30,,,sistema,Full,Sim,Ṇo
M-LEH2412099,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.700,00","0,00","10,00",Pausado,01/05/2024,30,,,sistema,Full,Sim,Ṇo
M-LEH2412094,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"1.950,00","0,00","10,00",Pausado,14/02/2023,30,,,sistema,Full,Sim,Ṇo
M-LEH2412084,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"5.500,00","0,00","10,00",Pausado,12/03/2024,30,,,sistema,Full,Sim,Ṇo
M-LEH2412074,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.500,00","0,00","10,00",Pausado,01/06/2023,30,,,sistema,Full,Sim,Ṇo
M-LEH2412067,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"5.000,00","0,00","10,00",Pausado,01/06/2022,30,,,sistema,Full,Sim,Ṇo
