codigo_contrato,codigo_parceiro,nome_parceiro,valor_aluguel_contrato,taxa_contrato,porcentagem_taxa_administracao,name_status,data_inicio_contrato,meses_duracao_contrato,data_desocupacao,tipo_parceiro,tipo_sistema,nome_produto,migracao,pontualizado
SP2402164NT,,ANA ALICE MARTINS DE SOUZA,"4.200,00","100,00","4,50",Ativo,26/02/2024,36,,,sistema,Smart,Nao,Sim
IT2112931A,JRC,ANDRÉ RODRIGUES DE SOUZA CARDOSO JUNIOR,"350,00","100,00","10,00",Ativo,03/01/2022,30,,Padrão,sistema,Smart,Nao,Sim
NM-SI26014081CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"850,00","100,00","10,00",Ativo,16/01/2026,24,,,sistema,Smart,Sim,NÃ£o
NM-AND260505071,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.500,00","100,00","10,00",Ativo,05/05/2026,12,,,sistema,Smart,Sim,NÃ£o
NM-SI25113521F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.650,00","100,00","10,00",Ativo,24/10/2025,12,,,sistema,Smart,Sim,NÃ£o
NM-SI25113516,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.350,00","100,00","10,00",Ativo,07/11/2025,12,,,sistema,Smart,Sim,NÃ£o
NM-SI25113505F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"3.300,00","100,00","10,00",Ativo,30/09/2025,12,,,sistema,Smart,Sim,NÃ£o
NM-ET25113503CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"700,00","100,00","10,00",Ativo,30/09/2025,12,,,sistema,Smart,Sim,NÃ£o
NM-SI25103462CP,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"1.100,00","100,00","10,00",Ativo,13/10/2025,12,,,sistema,Smart,Sim,NÃ£o
M-AND2508030F,,ANDREA DUTRA NEGOCIOS IMOBILIARIOS LTDA,"790,00","100,00","10,00",Ativo,14/08/2025,12,,,sistema,Smart,Sim,NÃ£o
